date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:06	47975/47975	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2000:50:12%20GMT	https://html.themeholy.com/klano/demo/home-house-cleaner.html	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/home-house-cleaner.html	(from )
21:16:07	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2020:16:07%20GMT	https://html.themeholy.com/robots.txt		(from )
21:16:08	1536/1536	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:08	1695/1695	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:08	1991/1991	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:09	2098/2098	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:09	2651/2651	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:09	2818/2818	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:10	3422/3422	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:10	3664/3664	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
21:16:11	4393/4393	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jan%202024%2000:50:14%20GMT	https://html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/cleaning/html.themeholy.com/klano/demo/assets/img/favicons/apple-icon-180x180.png	(from https://html.themeholy.com/klano/demo/home-house-cleaner.html)
